Mental Status,Study Hours per Week,Attendance Rate,Gender,Previous Physics average,Previous Chemistry average,Previous Mathematics  average,Extracurricular Activities,Family Support,failures,famrel,freetime,goout,Dalc,Walc,absences,guardian,schoolsup,paidClass,Parent Education Level
Severe,11.7,63.3,Male,48.22,53.17,60,nan,None,1,2.64,3,4,1,2,2,mother,no,no,High school
Mild,1.2,118.9,Male,65.03,74.64,70.5,No,Minimal Support,0,4.23,5,2,0,1,12,mother,yes,no,High school
Severe,11.6,127.4,Male,57.83,63.3,71.3,Yes,Moderate Support,-1,4.09,3,3,2,3,2,father,yes,no,Diploma level
Severe,8.1,69.7,Female,56.14,52.89,39.1,No,None,0,3.95,3,2,3,1,5,mother,yes,no,NVQ qualified
Severe,6.6,92.5,Female,56.45,59.01,39.3,Yes,Minimal Support,1,3.08,3,2,3,2,5,mother,yes,no,Diploma level
Normal,15.2,96.1,Female,66.02,87.28,49.3,Yes,Minimal Support,1,2.78,3,2,1,4,1,mother,yes,yes,High school
Moderate,14.7,62.2,Male,55.66,57.71,65.2,No,None,0,6.11,2,4,0,1,3,father,yes,yes,NVQ qualified
Mild,5.8,113.8,Female,68.9,78.24,42.3,Yes,Minimal Support,1,3.82,4,3,2,0,6,father,yes,no,NVQ qualified
Moderate,8.5,73.6,Female,36.62,58.43,60.1,Yes,None,2,3.11,3,3,3,2,9,mother,yes,yes,Master
Normal,11.7,83.4,Female,59.23,70.74,68.2,No,Minimal Support,-1,3.92,3,3,0,1,2,mother,yes,no,NVQ qualified
Moderate,14.9,75,Female,64.12,47.48,34.1,No,Minimal Support,0,6.42,4,1,1,4,9,other,yes,no,Diploma level
Moderate,7.6,72.2,Female,62.44,77.92,65.8,No,None,1,3.6,3,5,1,5,11,mother,yes,no,Master
Moderate,9.1,80.6,Female,72.67,67.83,66.6,No,Minimal Support,0,3.02,5,2,2,2,7,father,no,yes,Diploma level
Severe,4.5,51.3,Male,84.68,81.66,58,Yes,None,0,3.81,3,3,1,2,6,father,yes,yes,Master
Normal,4,35.6,Male,71.32,76.3,48.5,Yes,None,0,4.32,5,2,3,0,4,mother,yes,no,NVQ qualified
Mild,14.1,70.7,Male,58.78,36.36,59.4,Yes,Minimal Support,0,3.39,3,3,2,1,1,mother,yes,no,None
Mild,16.8,57.4,Female,78.83,69.99,59.4,No,None,1,4.03,4,3,2,2,1,father,yes,yes,Degree
Mild,9.6,86,Male,67.93,81.59,93.9,No,Minimal Support,1,2.69,1,3,3,1,16,mother,yes,no,None
Severe,15,83.7,Male,64.08,51.25,63.2,Yes,Minimal Support,0,2.66,2,3,-1,1,2,mother,yes,no,Degree
Moderate,11.8,75.3,Female,54.56,50.94,58,No,Minimal Support,0,4.42,2,4,0,3,16,other,yes,no,NVQ qualified
Normal,6.8,104.6,Female,53.67,59.21,63.2,No,Minimal Support,0,4.69,4,3,2,1,10,other,yes,no,None
Normal,11.8,74.9,Male,79.17,74.48,71.4,nan,Minimal Support,0,5.01,5,2,2,4,19,mother,yes,no,Diploma level
Normal,17.7,45.8,Female,65.82,57.43,70.8,Yes,None,1,4.34,3,5,1,2,3,father,yes,no,Diploma level
Severe,9.8,70.5,Female,55.12,51.54,71.7,Yes,None,0,3.65,3,4,1,3,4,father,yes,yes,NVQ qualified
Severe,17.8,98.4,Male,59.9,58.25,74,No,Moderate Support,0,5.94,4,1,2,1,5,mother,yes,no,Master
Normal,3.1,37.3,Male,66.75,63.58,43.1,No,None,0,4.61,2,3,2,2,1,father,yes,no,Diploma level
Moderate,14.1,73.1,Male,46.07,46.85,72.7,No,Minimal Support,-1,4.43,3,5,4,1,4,mother,yes,no,None
Moderate,10.4,86.5,Male,66.93,79.66,67.8,No,Minimal Support,1,4.79,5,2,0,3,1,mother,yes,no,Diploma level
Mild,8.5,128,Female,35.69,52.79,55.7,Yes,Moderate Support,0,3.7,3,4,2,5,1,father,yes,no,Degree
Severe,10.5,99.2,Female,42.92,31.84,66.6,No,Minimal Support,1,2.45,5,4,2,1,8,mother,yes,no,Master
Normal,0.1,77.7,Female,65.56,66.59,63.4,No,None,0,4.33,4,1,0,3,3,mother,yes,yes,Master
Severe,8.9,85.4,Female,55.06,63.78,64.7,No,Minimal Support,2,3.26,3,2,1,2,18,mother,yes,no,High school
Normal,11.8,37,Male,75.54,83.75,67.6,No,None,0,3.92,3,4,1,-2,1,mother,yes,no,None
Moderate,17.4,22,Male,84.7,77.39,39.8,No,None,0,4.22,5,5,2,1,10,mother,yes,no,None
Severe,7.4,39.1,Male,75.28,67.06,68.9,No,None,1,4.46,2,4,2,3,1,mother,yes,no,Degree
Mild,6,78.2,Male,57.55,52.64,74.8,No,None,-1,4.62,5,4,2,2,9,mother,yes,yes,Degree
Mild,7.5,80.8,Male,72.61,88.14,68.7,No,Minimal Support,-1,3.37,5,2,2,1,3,mother,yes,yes,High school
Mild,14.6,75.7,Female,69.51,51.21,54.1,Yes,Minimal Support,0,5.7,3,4,0,3,13,mother,no,no,High school
Severe,11.6,74.9,Female,64.67,53.77,52.1,Yes,Minimal Support,0,4.5,5,4,2,2,14,mother,yes,no,High school
Mild,7.4,77.1,Female,49.15,53.02,67.7,Yes,Minimal Support,1,2.72,1,4,1,2,13,father,yes,no,Diploma level
Severe,12.6,53.9,Male,61.88,72.04,77,No,None,1,3.73,4,3,1,2,4,mother,yes,yes,High school
Severe,10.5,70.4,Female,58.08,65.21,84.6,Yes,None,0,3.61,2,3,0,3,17,mother,yes,no,Degree
Mild,14.8,69,Male,67.52,60.07,76.5,Yes,Minimal Support,0,4.27,4,3,2,2,9,mother,yes,yes,NVQ qualified
Mild,6.5,62.6,Male,41.01,55.53,72.7,Yes,None,0,2.97,5,6,1,2,0,mother,yes,no,Degree
Moderate,8.4,98.9,Male,38.76,38.76,26.9,No,Minimal Support,0,4.24,3,4,2,-1,12,mother,yes,no,Degree
Moderate,8,71.4,Female,46.88,56.35,,No,None,1,3.7,4,2,1,4,1,mother,yes,no,Degree
Normal,2.7,86.9,Female,62.25,74.04,,No,Minimal Support,0,3.48,3,3,2,3,3,mother,yes,no,Master
Moderate,11.5,77.3,Female,36.67,30.7,54.8,No,Minimal Support,1,5.65,3,5,1,1,1,mother,yes,no,None
Severe,11.3,67.3,Male,63.04,54.02,200,Yes,None,0,5.73,4,4,1,2,6,mother,yes,no,NVQ qualified
Normal,10,54.8,Female,31.54,41.59,49.1,Yes,None,0,3.73,3,4,1,2,5,mother,no,yes,Diploma level
Severe,8.8,67,Female,71.99,74.56,91.5,No,None,-1,3.97,3,4,3,2,14,mother,yes,yes,Diploma level
Mild,2.9,78.7,Male,76.56,50.98,45.5,No,None,0,3.45,6,5,3,1,11,father,yes,no,High school
Moderate,7.9,86.6,Female,56.41,50.57,61.8,No,Minimal Support,1,6.51,3,2,3,3,8,mother,yes,no,NVQ qualified
Severe,5,77.4,Male,62.43,58.86,54.1,Yes,None,1,3.88,3,3,1,4,2,mother,yes,no,Diploma level
Mild,6,88,Male,54.78,59.56,52,No,Minimal Support,0,4.39,3,3,1,1,4,mother,yes,no,None
Severe,9.2,44.6,Female,53.86,65.54,71.2,Yes,None,0,5.49,4,5,2,2,13,mother,yes,yes,High school
Moderate,12,92.3,Male,69.15,69.14,77.3,Yes,Minimal Support,0,3.69,4,3,1,3,4,mother,yes,yes,Master
Severe,19.4,52.4,Male,67.16,57.71,47.3,Yes,None,1,3.61,1,4,2,3,3,mother,yes,no,None
Moderate,10.9,94.7,Male,44.69,37.12,65.8,Yes,Minimal Support,1,2.76,2,5,2,3,7,other,yes,no,NVQ qualified
Severe,11.3,56,Female,56.04,63.88,63.3,No,None,-1,4.79,4,3,4,1,4,mother,yes,no,Master
Normal,9.6,37.6,Female,68.32,51.74,58.2,Yes,None,-1,5.8,2,4,1,1,2,mother,yes,no,High school
Moderate,6,89.7,Male,67.99,42.2,51,Yes,Minimal Support,1,4.13,3,1,2,3,3,mother,yes,no,Master
Mild,9.9,94.9,Male,34.51,55.25,81.6,Yes,Minimal Support,-1,3.68,4,2,1,0,6,mother,yes,yes,Degree
Moderate,10.3,100.2,Female,40.77,46.23,49.5,No,Minimal Support,1,3.43,3,4,2,3,6,father,yes,no,Diploma level
Severe,22.3,59.6,Male,77.63,87.63,45.5,Yes,Minimal Support,-1,4.2,4,3,0,2,7,father,yes,no,Degree
Severe,9,78.6,Female,34.53,51.59,81.5,Yes,Minimal Support,-1,3.67,2,2,1,2,9,mother,yes,no,Master
Mild,11.5,88.9,Male,50.25,90.6,68,No,Minimal Support,0,3.45,2,4,0,2,2,father,yes,no,None
Normal,9.8,89.7,Female,47.65,51.38,47.3,Yes,Minimal Support,0,3.7,3,3,1,1,6,mother,yes,no,NVQ qualified
Moderate,4.2,83.2,Female,76.92,64.81,63.8,No,Minimal Support,1,4.55,3,4,4,3,9,mother,yes,no,High school
Moderate,15.7,66.5,Female,72.29,74.15,55.6,nan,Minimal Support,-1,5.48,5,3,1,3,10,mother,yes,yes,Master
Severe,13.8,94.8,Female,46.34,48.32,87.3,Yes,Minimal Support,0,2.94,4,3,1,1,5,mother,yes,yes,High school
Moderate,14,94.9,Female,73.05,76.7,61.4,No,Minimal Support,0,1.9,4,4,3,3,13,mother,no,yes,None
Moderate,5.5,71.9,Male,59.62,46.49,73,No,None,1,4.95,5,2,2,1,1,mother,yes,no,NVQ qualified
Normal,17,59.3,Male,48.89,31.05,64.7,Yes,None,-1,3.31,4,4,1,2,18,mother,yes,no,None
Moderate,3,32,Male,43.21,36.84,86.6,No,None,1,3.5,3,2,2,2,9,mother,yes,no,Diploma level
Moderate,12.9,102.3,Male,34.48,47.64,68.1,No,Minimal Support,1,4.91,4,3,2,0,16,mother,no,yes,NVQ qualified
Mild,21,94,Female,35.56,52.46,82.4,Yes,Moderate Support,-1,3.72,3,3,1,4,5,father,yes,yes,Diploma level
Normal,8,74.6,Female,42.35,53.25,73.1,No,None,0,5.36,4,3,2,2,5,mother,yes,no,Master
Severe,7.2,71,Female,33.25,39.7,56.7,No,None,0,3.98,4,2,1,2,10,mother,yes,yes,None
Moderate,10.5,39.6,Male,58.18,41.03,65,Yes,None,1,4.08,3,4,2,1,0,father,yes,no,Master
Severe,7.5,73.3,Female,52.17,44.14,61.8,No,None,0,4.71,3,5,0,2,9,mother,yes,no,High school
Moderate,2.2,51.2,Female,52.4,44.28,56.4,Yes,None,-1,3.34,4,3,2,2,7,father,yes,no,High school
Severe,10.3,78.2,Female,85.84,72.1,48.8,No,Minimal Support,0,4.42,3,2,0,2,9,mother,yes,no,High school
Normal,4.7,98.7,Female,71.79,57.55,85.4,No,Minimal Support,0,4.17,3,2,2,2,3,mother,yes,no,Diploma level
Moderate,12.4,55.4,Male,62.72,40.07,34.1,No,None,1,4.42,3,4,2,2,9,mother,yes,no,None
Severe,5.4,79.8,Male,70.63,85.13,85,No,Minimal Support,1,3.34,3,2,2,2,8,mother,yes,no,Degree
Severe,17.7,95,Male,74.96,64.21,44.9,Yes,Minimal Support,0,4.53,4,2,2,2,4,mother,yes,no,Diploma level
Severe,6.1,79.4,Female,56.23,51.33,73.1,No,Minimal Support,0,4.27,3,3,2,1,3,mother,yes,yes,Diploma level
Normal,8.4,64.5,Male,76.73,58.01,56.2,Yes,None,0,3.92,6,3,2,1,14,mother,yes,yes,High school
Mild,14.1,75.2,Female,83.34,68.9,40,No,Minimal Support,1,2.29,3,5,3,2,3,mother,yes,no,High school
Normal,3.8,94.1,Male,77.31,33.22,82.2,No,Minimal Support,0,4.29,4,3,1,2,1,mother,no,yes,High school
Normal,11.1,80.3,Female,64.76,61.15,29,Yes,Minimal Support,0,4.85,4,3,1,1,6,mother,yes,no,Master
Moderate,16.5,74.9,Male,59.46,41.49,76.9,No,Minimal Support,0,3.63,3,4,3,1,7,father,yes,no,Degree
Normal,2,98.1,Male,69.03,58.07,66.9,nan,Minimal Support,-1,3.58,3,3,2,3,8,father,yes,no,Degree
Severe,10.9,85.3,Female,60.25,54.04,80.8,No,Minimal Support,1,3.64,4,5,2,1,4,mother,yes,no,Diploma level
Mild,11.3,50.9,Female,76.22,65.68,74.4,Yes,None,1,5.26,3,3,2,2,4,mother,yes,no,High school
Normal,13.9,87.6,Male,37.84,55.23,74.2,Yes,Minimal Support,1,5.24,4,2,2,1,0,father,yes,no,High school
Mild,3.8,94,Male,89.43,78.56,78.5,No,Minimal Support,0,3.62,2,1,0,3,9,mother,yes,no,Diploma level
Moderate,3.4,50.3,Female,70.21,61.53,,Yes,None,0,3.24,4,2,2,1,1,mother,yes,yes,High school
Mild,12.6,29.6,Male,37.91,32.55,,No,None,0,4.4,4,2,1,2,5,mother,yes,yes,None
Normal,11.5,54.2,Male,35.17,40.94,60,No,None,1,4.04,2,3,2,2,1,mother,yes,no,None
Severe,11.3,73,Male,74.54,66.76,61.6,Yes,Minimal Support,0,2.78,5,3,2,3,12,mother,yes,no,Diploma level
Normal,11.7,95.2,Female,86.67,87.84,66.6,No,Minimal Support,0,4.21,4,4,1,0,9,mother,no,no,None
Mild,6.6,57.2,Female,33.64,38.95,61,No,None,0,5.08,3,3,2,0,1,mother,yes,no,Diploma level
Mild,11.2,86.1,Male,30.94,52.63,97.8,No,Minimal Support,2,3.78,3,3,2,2,3,mother,yes,yes,Master
Normal,11.5,17.2,Male,57.71,53.54,63.7,Yes,None,1,3.21,3,-1,2,2,7,mother,yes,no,Diploma level
Normal,6.4,78.6,Male,88.91,58.38,47.8,No,Minimal Support,0,3.63,2,5,0,4,10,mother,yes,no,High school
Normal,19.3,66.9,Female,56.53,47.27,63.2,Yes,Minimal Support,0,3.44,3,2,2,3,7,father,no,no,Diploma level
Normal,12.4,117,Female,70.34,74.53,52.4,No,Moderate Support,1,3.48,1,3,2,3,3,mother,yes,no,Master
Mild,4,37.2,Female,58.82,54.63,94.4,Yes,None,0,4.15,2,3,2,5,4,other,yes,no,NVQ qualified
Normal,45,88,Female,65.19,77.82,66.5,nan,Moderate Support,1,5.01,3,2,0,3,0,mother,yes,no,None
Severe,5.1,37,Female,56.42,67.12,74.5,No,None,-1,2.16,3,4,3,2,5,father,yes,no,High school
Mild,13.9,64,Female,45.78,47.19,72.7,No,None,1,3.31,3,4,1,0,2,mother,yes,yes,None
Moderate,15.8,41,Female,48.42,55.91,79.2,No,None,0,5.81,3,4,2,2,24,mother,yes,yes,High school
Severe,5.9,121,Female,78.58,75.96,68.6,Yes,Moderate Support,-2,4.3,4,3,3,3,9,mother,yes,yes,High school
Normal,14.8,67.9,Female,56.12,57.63,59,Yes,Minimal Support,0,3.4,4,3,0,4,3,mother,no,no,High school
Severe,12.1,70.8,Male,70.06,68.22,65.7,No,Minimal Support,0,4.1,4,3,1,3,5,mother,yes,no,High school
Mild,14.1,74.1,Male,50.46,59.88,46.6,No,Minimal Support,1,5.61,4,2,1,1,9,mother,no,no,Diploma level
Normal,19.5,52.4,Female,46.23,58.39,,Yes,None,0,3.62,2,5,3,2,0,father,yes,no,None
Severe,8.8,96.1,Female,40.26,58.36,91.9,No,Minimal Support,1,1.76,4,6,0,3,4,mother,yes,no,Degree
Severe,6.2,87.8,Male,47.16,30.36,76,No,Minimal Support,-1,4.86,5,3,2,2,15,mother,yes,no,Diploma level
Normal,5.6,93.4,Male,52.47,78.65,63.4,No,Minimal Support,1,4.82,5,4,2,3,15,mother,no,no,Degree
Normal,5.9,50.6,Female,53.29,79.93,,Yes,None,-1,3.82,2,4,1,3,2,father,yes,no,Degree
Normal,9.6,97.7,Male,60.87,63.7,55.9,No,Minimal Support,0,5.22,4,3,1,3,1,mother,yes,no,Diploma level
Severe,11.7,95.4,Female,52.64,53.72,70.1,No,Minimal Support,0,4.88,3,3,2,0,3,mother,yes,no,Master
Severe,11.4,70.4,Male,86.39,78.97,60.5,Yes,Minimal Support,0,2.61,5,5,2,1,3,mother,yes,no,Diploma level
Mild,14.1,92.9,Male,72.15,69.34,61.9,No,Minimal Support,0,3.68,5,2,1,1,1,mother,yes,no,Master
Moderate,10.1,80.5,Female,58.9,50.9,70.9,Yes,Minimal Support,0,2.48,3,0,0,3,5,mother,yes,no,Degree
Mild,17.3,43.1,Male,62.61,55.08,73.6,No,None,1,3.41,1,2,1,2,11,other,yes,no,NVQ qualified
Mild,8.7,71.3,Male,70.69,77.31,62,Yes,None,-1,3.93,3,2,3,4,19,mother,yes,no,NVQ qualified
Severe,10,65.4,Female,46.39,52.85,52.5,Yes,None,0,4.56,1,3,2,1,7,father,yes,no,Degree
Normal,13.1,76.7,Female,58.02,79.43,92.5,Yes,Minimal Support,0,4.14,2,2,2,2,6,mother,yes,no,High school
Normal,5.7,95.4,Male,74.46,61.03,66.5,No,Minimal Support,1,2.99,4,4,1,2,5,mother,yes,no,Degree
Moderate,4.6,52,Male,46.43,39.49,49.4,No,None,1,4.73,1,2,2,2,4,mother,yes,yes,Degree
Moderate,12.4,66.1,Male,53.49,44.23,49.7,Yes,None,0,3.39,5,5,1,2,6,mother,no,no,Degree
Severe,8.9,58.6,Female,95.07,77.82,94.9,No,None,0,4.6,2,2,1,1,13,mother,no,yes,Degree
Severe,13.6,59.4,Male,63.09,69.02,102,Yes,None,-1,5.03,4,6,0,3,0,other,yes,no,Degree
Mild,12.4,58.5,Male,72.96,67.99,70,nan,None,0,3.51,3,2,1,2,12,mother,yes,no,Master
Moderate,9.6,76.4,Female,33.6,30.75,55.8,No,Minimal Support,-1,4.71,5,5,0,1,5,father,yes,no,NVQ qualified
Moderate,5.8,85.5,Male,54.37,56.75,,Yes,Minimal Support,0,2.41,6,2,2,2,1,father,yes,no,None
Severe,2.4,82,Female,51.83,57.68,60.4,Yes,None,0,3.98,3,5,1,3,11,mother,yes,yes,Master
Mild,7.8,78.7,Male,35.88,55.47,73.6,No,Minimal Support,-1,4.2,4,4,2,2,5,mother,no,yes,None
Severe,14.3,87.4,Male,53.92,46.65,70.3,No,Minimal Support,1,3.37,4,3,2,5,6,other,yes,no,None
Mild,11.1,122.6,Female,40,52.8,64.5,No,Moderate Support,1,4.34,4,1,1,4,1,mother,yes,no,Degree
Mild,3.8,77.7,Male,50.47,57.86,63.7,Yes,None,0,3.98,4,4,1,4,24,mother,yes,yes,Degree
Moderate,10.9,95.4,Female,74.21,66.74,61.7,No,Minimal Support,0,3.19,3,5,2,3,2,mother,yes,no,None
Normal,11.9,94.3,Female,77.59,78.74,79.2,No,Minimal Support,1,4.63,4,3,2,3,7,mother,yes,no,Diploma level
Normal,5.6,110.6,Male,70.37,95.81,62.1,Yes,Minimal Support,0,3,3,3,2,1,5,father,yes,no,High school
Moderate,10.8,86.2,Male,69.23,65.28,95.8,No,Minimal Support,0,5.21,2,4,-1,1,5,mother,yes,no,NVQ qualified
Mild,10.3,58.1,Male,36.52,34.29,97.2,No,None,0,5.86,2,4,0,0,3,mother,yes,no,High school
Normal,,81.1,Male,52.96,61.79,59.3,No,Strong Support,1,3.58,3,2,1,1,2,mother,yes,yes,High school
Moderate,11.8,80,Female,69.22,70.07,59.6,No,Minimal Support,0,3.07,3,3,1,4,11,mother,yes,no,Degree
Severe,12.8,91.3,Male,84.13,89.34,64.3,Yes,Minimal Support,-1,3.52,2,5,2,4,1,mother,yes,no,None
Moderate,15.4,57.5,Male,48.62,53.22,55.4,Yes,None,0,2.43,4,3,2,5,2,mother,yes,no,Degree
Severe,15.3,100.3,Male,75.61,68.1,77.8,Yes,Minimal Support,0,3.61,0,2,2,1,5,mother,yes,no,Degree
Severe,3.1,75.1,Female,72.04,62.08,82.8,No,None,0,4.47,4,4,2,4,7,mother,yes,no,None
Severe,5.3,91.8,Male,55.75,74.3,84.3,Yes,Minimal Support,1,4.58,2,3,2,4,15,mother,yes,no,Degree
Mild,12.6,81.2,Female,53.24,57.12,61.9,No,Minimal Support,0,2.76,4,3,2,0,0,father,yes,no,Degree
Normal,12.6,77.5,Male,53.43,60.99,61.7,No,Minimal Support,1,5.79,2,5,0,1,4,mother,no,no,Degree
Severe,12.6,79.7,Male,43.68,77.55,35.1,No,Minimal Support,0,2.53,4,3,2,3,4,mother,yes,no,High school
Normal,29.3,,Female,79.06,52.02,55.1,Yes,Strong Support,0,4.62,4,3,3,1,7,mother,yes,no,None
Severe,12.9,114.2,Male,62.07,60.22,51,No,Moderate Support,1,2.96,4,2,1,3,4,father,yes,no,None
Moderate,15.7,34.7,Female,74.27,64.7,48.4,No,None,0,3.13,3,2,2,2,7,father,no,no,NVQ qualified
Mild,14.8,85.8,Female,73.2,75.88,57.7,Yes,Minimal Support,1,5.37,5,5,3,3,1,mother,yes,no,Diploma level
Moderate,13.3,75.9,Female,57.84,62.89,60.4,No,Minimal Support,0,3.51,3,3,2,3,9,mother,yes,no,High school
Severe,8.4,71.5,Male,55.76,59.91,64.6,Yes,None,-1,5.28,3,4,1,2,1,father,yes,no,Degree
Moderate,13.8,27.7,Male,34.33,34.57,85.4,No,None,1,4.06,2,2,3,1,11,mother,yes,yes,Degree
Moderate,6.1,86.6,Male,57.19,72.36,82.5,Yes,Minimal Support,-1,5.26,5,3,0,1,6,mother,yes,no,Master
Mild,8.8,,Female,68.24,49.41,48.1,Yes,Strong Support,0,3.09,2,4,1,2,7,mother,yes,no,NVQ qualified
Moderate,7.6,58.3,Female,53.84,50.86,71.4,No,None,1,2.49,3,2,1,1,2,father,yes,no,NVQ qualified
Severe,10.4,75.8,Female,64.34,55.27,53,Yes,Minimal Support,0,2.68,3,3,4,3,4,father,yes,no,Degree
Mild,21.6,69.1,Male,66.6,59.79,67.2,Yes,Minimal Support,0,6.37,3,3,0,4,0,mother,yes,no,None
Moderate,0.7,40.2,Male,81.86,81.6,,No,None,0,2.05,3,2,0,2,0,mother,yes,yes,None
Mild,13.4,76.8,Female,70.74,67.23,57.7,Yes,Minimal Support,1,1.12,2,2,1,5,2,mother,yes,no,Master
Severe,1.9,86.6,Female,46.87,49.2,50.2,Yes,Minimal Support,1,1.65,3,2,2,2,3,father,yes,yes,Diploma level
Normal,7.6,64,Male,67.65,36.72,65.8,Yes,None,1,4.56,3,5,1,2,7,father,yes,no,Master
