Emotion,Climate,Time,Playlist
Tired & Sleepy,Rainy,Morning,8
Lazy & Nervous,Rainy,Travelling time,37
Normal,Rainy,Travelling time,3
Lazy & Nervous,Sunny,Travelling time,11
Lazy & Nervous,Sunny,Tea time,15
Normal,Sunny,Night,41
Lazy & Nervous,Sunny,Travelling time,37
Tired & Sleepy,Sunny,Morning,36
Lazy & Nervous,Sunny,Tea time,43
Normal,Rainy,Night,4
Lazy & Nervous,Cloudy,Travelling time,12
Tired & Sleepy,Sunny,Evening,43
Aggressive,Sunny,Travelling time,42
Tired & Sleepy,Sunny,Evening,7
Normal,Cloudy,Evening,4
Normal,Cloudy,Evening,1
Normal,Cloudy,Night,45
Aggressive,Sunny,Tea time,17
Tired & Sleepy,Rainy,Tea time,35
Tired & Sleepy,Sunny,Morning,9
Aggressive,Sunny,Evening,19
Normal,Rainy,Tea time,23
Lazy & Nervous,Sunny,Tea time,43
Lazy & Nervous,Sunny,Evening,31
Lazy & Nervous,Rainy,Night,22
Aggressive,Cloudy,Evening,18
Tired & Sleepy,Sunny,Morning,43
Aggressive,Rainy,Travelling time,32
Normal,Cloudy,Night,4
Lazy & Nervous,Cloudy,Tea time,38
Tired & Sleepy,Cloudy,Night,28
Aggressive,Sunny,Travelling time,40
Normal,Cloudy,Travelling time,1
Normal,Sunny,Travelling time,1
Aggressive,Sunny,Travelling time,32
Lazy & Nervous,Sunny,Travelling time,12
Lazy & Nervous,Sunny,Tea time,13
Lazy & Nervous,Cloudy,Evening,37
Aggressive,Rainy,Tea time,20
Tired & Sleepy,Cloudy,Morning,35
Normal,Cloudy,Evening,3
Lazy & Nervous,Cloudy,Evening,11
Lazy & Nervous,Cloudy,Travelling time,15
Aggressive,Cloudy,Travelling time,45
Tired & Sleepy,Rainy,Travelling time,10
Tired & Sleepy,Rainy,Night,29
Normal,Sunny,Travelling time,41
Lazy & Nervous,Rainy,Travelling time,38
Lazy & Nervous,Sunny,Travelling time,13
Lazy & Nervous,Sunny,Tea time,15
Lazy & Nervous,Sunny,Evening,37
Tired & Sleepy,Cloudy,Morning,10
Lazy & Nervous,Cloudy,Evening,15
Lazy & Nervous,Sunny,Tea time,12
Tired & Sleepy,Cloudy,Morning,45
Aggressive,Cloudy,Evening,30
Tired & Sleepy,Rainy,Night,7
Normal,Sunny,Morning,5
Normal,Rainy,Travelling time,1
Lazy & Nervous,Sunny,Night,41
Normal,Cloudy,Travelling time,4
Aggressive,Rainy,Evening,40
Lazy & Nervous,Cloudy,Night,11
Lazy & Nervous,Cloudy,Morning,26
Aggressive,Sunny,Evening,20
Aggressive,Sunny,Night,16
Aggressive,Cloudy,Evening,39
Tired & Sleepy,Sunny,Tea time,9
Aggressive,Cloudy,Travelling time,18
Normal,Rainy,Travelling time,32
Tired & Sleepy,Sunny,Night,41
Lazy & Nervous,Sunny,Evening,13
Normal,Sunny,Travelling time,33
Tired & Sleepy,Cloudy,Morning,7
Normal,Rainy,Night,22
Aggressive,Cloudy,Travelling time,45
Lazy & Nervous,Cloudy,Travelling time,32
Aggressive,Rainy,Travelling time,17
Aggressive,Sunny,Morning,18
Aggressive,Cloudy,Evening,40
Aggressive,Sunny,Tea time,17
Normal,Rainy,Tea time,24
Aggressive,Rainy,Evening,20
Lazy & Nervous,Rainy,Tea time,38
Aggressive,Cloudy,Travelling time,32
Aggressive,Sunny,Tea time,24
Normal,Rainy,Travelling time,22
Aggressive,Sunny,Evening,18
Aggressive,Rainy,Night,39
Aggressive,Cloudy,Morning,40
Aggressive,Sunny,Evening,40
Normal,Cloudy,Travelling time,4
Aggressive,Cloudy,Tea time,25
Lazy & Nervous,Sunny,Evening,13
Lazy & Nervous,Cloudy,Night,38
Aggressive,Sunny,Tea time,41
Normal,Cloudy,Morning,4
Tired & Sleepy,Cloudy,Evening,6
Tired & Sleepy,Sunny,Tea time,6
Lazy & Nervous,Rainy,Tea time,24
Tired & Sleepy,Cloudy,Evening,6
Lazy & Nervous,Rainy,Tea time,37
Aggressive,Rainy,Evening,22
Lazy & Nervous,Sunny,Tea time,25
Normal,Sunny,Night,5
Tired & Sleepy,Cloudy,Evening,35
Lazy & Nervous,Cloudy,Travelling time,11
Normal,Cloudy,Travelling time,34
Normal,Rainy,Tea time,2
Normal,Rainy,Morning,3
Tired & Sleepy,Cloudy,Evening,8
Lazy & Nervous,Rainy,Night,14
Aggressive,Sunny,Evening,39
Aggressive,Rainy,Tea time,39
Tired & Sleepy,Sunny,Tea time,42
Lazy & Nervous,Sunny,Tea time,25
Lazy & Nervous,Rainy,Morning,38
Normal,Rainy,Tea time,3
Tired & Sleepy,Cloudy,Night,8
Tired & Sleepy,Sunny,Tea time,8
Aggressive,Cloudy,Morning,27
Aggressive,Rainy,Morning,23
Tired & Sleepy,Rainy,Travelling time,7
Lazy & Nervous,Rainy,Evening,12
Normal,Rainy,Night,21
Aggressive,Sunny,Night,40
Lazy & Nervous,Cloudy,Morning,11
Lazy & Nervous,Rainy,Night,11
Aggressive,Sunny,Evening,41
Normal,Cloudy,Morning,2
Normal,Cloudy,Travelling time,1
Aggressive,Cloudy,Evening,45
Tired & Sleepy,Cloudy,Evening,44
Aggressive,Sunny,Tea time,18
Normal,Sunny,Morning,26
Tired & Sleepy,Cloudy,Tea time,36
Normal,Sunny,Evening,3
Aggressive,Cloudy,Tea time,44
Tired & Sleepy,Cloudy,Evening,10
Aggressive,Rainy,Night,23
Lazy & Nervous,Cloudy,Morning,11
Tired & Sleepy,Sunny,Travelling time,43
Normal,Cloudy,Morning,44
Lazy & Nervous,Rainy,Night,23
Tired & Sleepy,Cloudy,Tea time,9
Aggressive,Rainy,Night,16
Normal,Sunny,Tea time,24
Tired & Sleepy,Cloudy,Morning,6
Aggressive,Cloudy,Evening,40
Lazy & Nervous,Rainy,Travelling time,37
Normal,Cloudy,Evening,5
Aggressive,Sunny,Evening,39
Tired & Sleepy,Rainy,Evening,36
Tired & Sleepy,Cloudy,Travelling time,35
Tired & Sleepy,Rainy,Tea time,24
Aggressive,Cloudy,Travelling time,44
Aggressive,Rainy,Evening,39
Aggressive,Rainy,Tea time,25
Lazy & Nervous,Sunny,Morning,14
Tired & Sleepy,Rainy,Evening,35
Aggressive,Sunny,Travelling time,17
Tired & Sleepy,Rainy,Travelling time,8
Lazy & Nervous,Rainy,Travelling time,12
Normal,Cloudy,Travelling time,4
Lazy & Nervous,Rainy,Travelling time,15
Normal,Rainy,Tea time,21
Aggressive,Rainy,Travelling time,19
Aggressive,Cloudy,Night,20
Normal,Rainy,Night,23
Normal,Rainy,Night,2
Tired & Sleepy,Cloudy,Travelling time,35
Normal,Cloudy,Morning,27
Normal,Rainy,Evening,33
Tired & Sleepy,Cloudy,Night,44
Aggressive,Cloudy,Morning,45
Tired & Sleepy,Sunny,Morning,7
Lazy & Nervous,Sunny,Tea time,15
Tired & Sleepy,Rainy,Morning,35
Normal,Cloudy,Night,2
Normal,Rainy,Night,3
Lazy & Nervous,Cloudy,Tea time,24
Lazy & Nervous,Cloudy,Travelling time,13
Tired & Sleepy,Rainy,Tea time,9
Lazy & Nervous,Sunny,Tea time,41
Normal,Rainy,Night,28
Lazy & Nervous,Sunny,Evening,37
Normal,Rainy,Evening,2
Tired & Sleepy,Rainy,Tea time,24
Lazy & Nervous,Sunny,Evening,37
Lazy & Nervous,Cloudy,Travelling time,44
Aggressive,Rainy,Travelling time,40
Lazy & Nervous,Rainy,Night,23
Normal,Sunny,Tea time,2
Tired & Sleepy,Cloudy,Night,28
Normal,Rainy,Travelling time,34
Normal,Sunny,Travelling time,41
Aggressive,Cloudy,Morning,17
Normal,Sunny,Morning,42
Tired & Sleepy,Cloudy,Travelling time,8
Tired & Sleepy,Cloudy,Night,8
Tired & Sleepy,Rainy,Tea time,10
Normal,Sunny,Tea time,42
Lazy & Nervous,Sunny,Travelling time,13
Normal,Sunny,Evening,34
Normal,Sunny,Tea time,1
Tired & Sleepy,Rainy,Evening,21
Tired & Sleepy,Rainy,Travelling time,10
Tired & Sleepy,Cloudy,Night,7
Aggressive,Sunny,Travelling time,42
Aggressive,Cloudy,Evening,20
Aggressive,Sunny,Morning,41
Tired & Sleepy,Rainy,Night,8
Aggressive,Rainy,Travelling time,23
Lazy & Nervous,Sunny,Evening,12
Aggressive,Rainy,Night,23
Lazy & Nervous,Rainy,Night,28
Aggressive,Cloudy,Night,19
Aggressive,Sunny,Morning,42
Lazy & Nervous,Rainy,Evening,37
Lazy & Nervous,Rainy,Tea time,22
Aggressive,Cloudy,Evening,19
Tired & Sleepy,Sunny,Travelling time,8
Normal,Sunny,Tea time,1
Lazy & Nervous,Cloudy,Travelling time,14
Tired & Sleepy,Cloudy,Evening,44
Tired & Sleepy,Sunny,Night,35
Lazy & Nervous,Rainy,Night,15
Tired & Sleepy,Cloudy,Night,35
Normal,Cloudy,Morning,2
Aggressive,Cloudy,Evening,31
Tired & Sleepy,Sunny,Morning,41
Tired & Sleepy,Sunny,Night,41
Normal,Rainy,Morning,1
Tired & Sleepy,Cloudy,Night,6
Lazy & Nervous,Cloudy,Evening,13
Aggressive,Cloudy,Evening,45
Normal,Sunny,Night,2
Lazy & Nervous,Rainy,Tea time,25
Normal,Cloudy,Night,44
Aggressive,Cloudy,Morning,26
Normal,Sunny,Morning,26
Normal,Rainy,Travelling time,4
Aggressive,Cloudy,Night,40
Normal,Cloudy,Night,1
Aggressive,Rainy,Morning,21
Aggressive,Sunny,Morning,19
Lazy & Nervous,Cloudy,Evening,37
Tired & Sleepy,Cloudy,Night,10
Lazy & Nervous,Cloudy,Travelling time,11
Normal,Cloudy,Travelling time,5
Tired & Sleepy,Sunny,Travelling time,6
Tired & Sleepy,Cloudy,Travelling time,32
Normal,Rainy,Night,1
Normal,Cloudy,Tea time,3
Lazy & Nervous,Sunny,Travelling time,43
Normal,Rainy,Night,5
Normal,Cloudy,Tea time,24
Tired & Sleepy,Sunny,Tea time,36
Tired & Sleepy,Sunny,Tea time,9
Normal,Rainy,Morning,26
Aggressive,Sunny,Morning,26
Tired & Sleepy,Cloudy,Morning,10
Tired & Sleepy,Cloudy,Evening,36
Lazy & Nervous,Sunny,Travelling time,42
Lazy & Nervous,Rainy,Travelling time,15
Aggressive,Rainy,Night,40
Aggressive,Sunny,Travelling time,43
Normal,Sunny,Travelling time,34
Normal,Sunny,Tea time,41
Normal,Cloudy,Tea time,4
Tired & Sleepy,Cloudy,Night,7
Lazy & Nervous,Sunny,Night,15
Tired & Sleepy,Cloudy,Travelling time,36
Normal,Sunny,Morning,33
Normal,Sunny,Night,5
Lazy & Nervous,Cloudy,Evening,45
Lazy & Nervous,Sunny,Night,42
Aggressive,Cloudy,Evening,31
Normal,Cloudy,Evening,5
Normal,Rainy,Travelling time,32
Tired & Sleepy,Sunny,Tea time,42
Normal,Cloudy,Travelling time,3
Tired & Sleepy,Sunny,Evening,10
Lazy & Nervous,Cloudy,Morning,37
Aggressive,Rainy,Night,29
Normal,Sunny,Morning,1
Tired & Sleepy,Rainy,Night,21
Normal,Sunny,Morning,33
Lazy & Nervous,Sunny,Morning,27
Normal,Cloudy,Night,3
Normal,Rainy,Morning,26
Normal,Sunny,Tea time,41
Aggressive,Sunny,Morning,27
Lazy & Nervous,Cloudy,Morning,14
Aggressive,Sunny,Night,41
Tired & Sleepy,Rainy,Night,29
Normal,Sunny,Morning,1
Lazy & Nervous,Rainy,Morning,11
Normal,Rainy,Night,21
Tired & Sleepy,Sunny,Tea time,10
Aggressive,Cloudy,Morning,27
Lazy & Nervous,Sunny,Night,11
Normal,Rainy,Night,21
Normal,Rainy,Morning,33
Aggressive,Cloudy,Tea time,24
Normal,Sunny,Morning,43
Aggressive,Cloudy,Evening,30
Normal,Cloudy,Evening,5
Lazy & Nervous,Rainy,Tea time,38
Tired & Sleepy,Rainy,Travelling time,21
Aggressive,Sunny,Tea time,25
Lazy & Nervous,Cloudy,Night,29
Lazy & Nervous,Sunny,Travelling time,13
Tired & Sleepy,Rainy,Tea time,25
Tired & Sleepy,Sunny,Travelling time,32
Normal,Cloudy,Travelling time,44
Aggressive,Cloudy,Morning,19
Tired & Sleepy,Rainy,Tea time,8
Aggressive,Rainy,Night,19
Lazy & Nervous,Sunny,Evening,41
Lazy & Nervous,Cloudy,Travelling time,44
Lazy & Nervous,Cloudy,Evening,14
Tired & Sleepy,Rainy,Evening,22
Normal,Rainy,Tea time,24
Tired & Sleepy,Sunny,Morning,41
Tired & Sleepy,Cloudy,Morning,9
Tired & Sleepy,Rainy,Tea time,35
Aggressive,Cloudy,Evening,30
Normal,Cloudy,Evening,5
Lazy & Nervous,Sunny,Travelling time,11
Tired & Sleepy,Cloudy,Night,6
Normal,Sunny,Night,42
Aggressive,Sunny,Evening,30
Normal,Sunny,Evening,1
Normal,Rainy,Morning,26
Lazy & Nervous,Sunny,Tea time,15
Aggressive,Rainy,Morning,18
Lazy & Nervous,Cloudy,Evening,11
Tired & Sleepy,Rainy,Morning,8
Normal,Sunny,Evening,2
Tired & Sleepy,Cloudy,Tea time,36
Aggressive,Sunny,Morning,19
Lazy & Nervous,Cloudy,Tea time,11
Normal,Sunny,Night,2
Normal,Rainy,Evening,31
Lazy & Nervous,Cloudy,Morning,15
Normal,Cloudy,Night,1
Tired & Sleepy,Cloudy,Morning,10
Normal,Sunny,Morning,2
Aggressive,Cloudy,Travelling time,19
Lazy & Nervous,Rainy,Travelling time,38
Normal,Sunny,Travelling time,4
Normal,Rainy,Tea time,4
Tired & Sleepy,Cloudy,Tea time,10
Lazy & Nervous,Rainy,Evening,12
Lazy & Nervous,Cloudy,Morning,14
Normal,Cloudy,Tea time,25
Normal,Cloudy,Night,33
Aggressive,Cloudy,Night,40
Lazy & Nervous,Cloudy,Evening,14
Normal,Cloudy,Travelling time,1
Normal,Sunny,Travelling time,4
Tired & Sleepy,Sunny,Travelling time,41
Lazy & Nervous,Rainy,Morning,22
Normal,Sunny,Tea time,1
Aggressive,Rainy,Night,23
Lazy & Nervous,Rainy,Night,12
Lazy & Nervous,Sunny,Travelling time,11
Lazy & Nervous,Sunny,Evening,11
Lazy & Nervous,Cloudy,Tea time,12
Normal,Cloudy,Morning,33
Aggressive,Cloudy,Morning,20
Lazy & Nervous,Sunny,Night,38
Lazy & Nervous,Cloudy,Tea time,13
Tired & Sleepy,Rainy,Night,6
Tired & Sleepy,Sunny,Morning,9
Lazy & Nervous,Sunny,Evening,11
Normal,Rainy,Morning,2
Aggressive,Rainy,Night,39
Tired & Sleepy,Sunny,Evening,7
Lazy & Nervous,Sunny,Travelling time,14
Aggressive,Cloudy,Travelling time,32
Aggressive,Cloudy,Morning,19
Lazy & Nervous,Sunny,Tea time,25
Aggressive,Sunny,Travelling time,17
Lazy & Nervous,Sunny,Evening,42
Tired & Sleepy,Cloudy,Evening,31
Aggressive,Rainy,Night,23
Tired & Sleepy,Sunny,Tea time,42
Tired & Sleepy,Sunny,Morning,42
Normal,Sunny,Night,4
Tired & Sleepy,Sunny,Travelling time,8
Aggressive,Rainy,Evening,31
Lazy & Nervous,Rainy,Tea time,37
Normal,Cloudy,Travelling time,4
Tired & Sleepy,Cloudy,Tea time,24
Lazy & Nervous,Sunny,Morning,11
Normal,Cloudy,Travelling time,1
Lazy & Nervous,Sunny,Travelling time,32
Normal,Sunny,Evening,31
Normal,Sunny,Evening,2
Tired & Sleepy,Cloudy,Night,35
Normal,Sunny,Night,1
Normal,Sunny,Evening,30
Tired & Sleepy,Sunny,Tea time,42
Aggressive,Rainy,Tea time,16
Aggressive,Sunny,Morning,27
Aggressive,Sunny,Evening,40
Lazy & Nervous,Cloudy,Morning,15
Tired & Sleepy,Rainy,Night,21
Normal,Cloudy,Tea time,45
Normal,Rainy,Evening,3
Normal,Rainy,Tea time,4
Aggressive,Cloudy,Night,17
Tired & Sleepy,Cloudy,Morning,9
Aggressive,Cloudy,Night,16
Lazy & Nervous,Sunny,Travelling time,15
Normal,Rainy,Evening,31
Aggressive,Cloudy,Evening,19
Lazy & Nervous,Sunny,Evening,13
Lazy & Nervous,Cloudy,Tea time,15
Lazy & Nervous,Sunny,Tea time,41
Aggressive,Sunny,Morning,17
Lazy & Nervous,Rainy,Travelling time,32
Normal,Rainy,Evening,4
Lazy & Nervous,Cloudy,Tea time,38
Lazy & Nervous,Cloudy,Evening,37
Tired & Sleepy,Cloudy,Tea time,35
Normal,Rainy,Tea time,4
Normal,Sunny,Tea time,2
Tired & Sleepy,Sunny,Tea time,36
Tired & Sleepy,Cloudy,Travelling time,10
Lazy & Nervous,Cloudy,Travelling time,13
Lazy & Nervous,Cloudy,Night,29
Aggressive,Cloudy,Travelling time,44
Normal,Rainy,Morning,26
Tired & Sleepy,Rainy,Night,35
Lazy & Nervous,Rainy,Travelling time,15
Normal,Cloudy,Night,44
Lazy & Nervous,Cloudy,Tea time,15
Lazy & Nervous,Sunny,Evening,31
Tired & Sleepy,Cloudy,Evening,45
Lazy & Nervous,Cloudy,Night,15
Normal,Sunny,Night,3
Aggressive,Cloudy,Evening,20
Normal,Cloudy,Morning,2
Normal,Sunny,Travelling time,42
Tired & Sleepy,Cloudy,Tea time,45
Aggressive,Sunny,Tea time,43
Normal,Sunny,Travelling time,2
Normal,Cloudy,Tea time,1
Tired & Sleepy,Rainy,Travelling time,8
Tired & Sleepy,Sunny,Tea time,25
Lazy & Nervous,Cloudy,Evening,13
Normal,Cloudy,Evening,5
Normal,Sunny,Travelling time,1
Normal,Cloudy,Evening,33
Normal,Sunny,Tea time,1
Lazy & Nervous,Sunny,Evening,30
Tired & Sleepy,Cloudy,Evening,35
Tired & Sleepy,Rainy,Evening,23
Aggressive,Rainy,Evening,31
Lazy & Nervous,Rainy,Travelling time,32
Normal,Cloudy,Tea time,24
Tired & Sleepy,Cloudy,Evening,31
Aggressive,Rainy,Morning,17
Tired & Sleepy,Cloudy,Evening,7
Lazy & Nervous,Sunny,Travelling time,32
Tired & Sleepy,Cloudy,Tea time,6
Aggressive,Sunny,Tea time,42
Normal,Sunny,Night,29
Tired & Sleepy,Rainy,Evening,23
Aggressive,Cloudy,Night,39
Normal,Sunny,Travelling time,2
Aggressive,Sunny,Night,18
Lazy & Nervous,Rainy,Night,38
Aggressive,Rainy,Morning,17
Lazy & Nervous,Sunny,Night,43
Normal,Rainy,Travelling time,23
Tired & Sleepy,Sunny,Evening,8
Tired & Sleepy,Rainy,Evening,7
Tired & Sleepy,Sunny,Evening,35
Lazy & Nervous,Rainy,Travelling time,22
Aggressive,Cloudy,Tea time,16
Tired & Sleepy,Sunny,Morning,10
Normal,Cloudy,Evening,4
Normal,Sunny,Travelling time,34
Normal,Sunny,Evening,3
Normal,Cloudy,Night,4
Normal,Rainy,Travelling time,23
Lazy & Nervous,Sunny,Tea time,15
Lazy & Nervous,Rainy,Evening,30
Tired & Sleepy,Rainy,Travelling time,9
Tired & Sleepy,Sunny,Night,29
Aggressive,Rainy,Evening,21
Normal,Sunny,Evening,2
Aggressive,Rainy,Travelling time,18
Tired & Sleepy,Cloudy,Night,28
Tired & Sleepy,Cloudy,Night,44
Normal,Cloudy,Night,34
Tired & Sleepy,Rainy,Night,21
Tired & Sleepy,Cloudy,Tea time,9
Tired & Sleepy,Cloudy,Morning,9
Tired & Sleepy,Cloudy,Tea time,7
Lazy & Nervous,Rainy,Tea time,21
Tired & Sleepy,Sunny,Evening,10
Normal,Rainy,Morning,33
Lazy & Nervous,Cloudy,Morning,37
Aggressive,Cloudy,Night,16
Aggressive,Rainy,Evening,23
Lazy & Nervous,Sunny,Evening,37
Normal,Sunny,Travelling time,3
Tired & Sleepy,Rainy,Travelling time,32
Tired & Sleepy,Sunny,Morning,42
Lazy & Nervous,Sunny,Travelling time,43
Lazy & Nervous,Sunny,Evening,43
Tired & Sleepy,Sunny,Tea time,41
Normal,Cloudy,Tea time,45
Tired & Sleepy,Sunny,Night,35
Lazy & Nervous,Cloudy,Morning,44
Tired & Sleepy,Rainy,Morning,8
Tired & Sleepy,Cloudy,Evening,8
Lazy & Nervous,Sunny,Evening,14
Normal,Sunny,Morning,1
Tired & Sleepy,Sunny,Tea time,10
Aggressive,Sunny,Morning,40
Normal,Sunny,Travelling time,2
Lazy & Nervous,Cloudy,Tea time,38
Normal,Sunny,Tea time,24
Lazy & Nervous,Sunny,Tea time,15
Tired & Sleepy,Sunny,Tea time,41
Normal,Sunny,Evening,5
Normal,Sunny,Evening,41
Aggressive,Rainy,Tea time,25
Aggressive,Sunny,Travelling time,40
Aggressive,Sunny,Evening,43
Aggressive,Rainy,Morning,22
Normal,Sunny,Morning,42
Tired & Sleepy,Sunny,Morning,26
Tired & Sleepy,Cloudy,Travelling time,35
Lazy & Nervous,Sunny,Evening,41
Normal,Rainy,Night,22
Lazy & Nervous,Cloudy,Evening,38
Aggressive,Cloudy,Night,45
Normal,Sunny,Evening,31
Aggressive,Sunny,Tea time,25
Lazy & Nervous,Cloudy,Night,38
Tired & Sleepy,Cloudy,Night,10
Lazy & Nervous,Rainy,Travelling time,37
Tired & Sleepy,Cloudy,Morning,7
Aggressive,Sunny,Tea time,40
Normal,Sunny,Night,41
Lazy & Nervous,Rainy,Evening,30
Aggressive,Rainy,Tea time,19
Normal,Rainy,Night,22
Normal,Rainy,Tea time,23
Tired & Sleepy,Cloudy,Night,36
Tired & Sleepy,Cloudy,Tea time,35
Lazy & Nervous,Cloudy,Tea time,15
Lazy & Nervous,Sunny,Evening,37
Normal,Rainy,Tea time,34
Normal,Rainy,Evening,34
Lazy & Nervous,Rainy,Evening,21
Tired & Sleepy,Sunny,Travelling time,9
Aggressive,Rainy,Tea time,23
Lazy & Nervous,Sunny,Travelling time,14
Aggressive,Rainy,Tea time,20
Normal,Cloudy,Night,1
Tired & Sleepy,Sunny,Evening,6
Lazy & Nervous,Cloudy,Tea time,15
Lazy & Nervous,Cloudy,Evening,13
Aggressive,Sunny,Travelling time,16
Normal,Cloudy,Morning,44
Lazy & Nervous,Rainy,Morning,38
Lazy & Nervous,Cloudy,Evening,13
Tired & Sleepy,Rainy,Night,22
Normal,Rainy,Tea time,22
Lazy & Nervous,Cloudy,Evening,15
Lazy & Nervous,Rainy,Morning,26
Aggressive,Cloudy,Night,20
Aggressive,Rainy,Travelling time,17
Normal,Rainy,Evening,4
Lazy & Nervous,Sunny,Night,42
Tired & Sleepy,Sunny,Evening,42
Lazy & Nervous,Sunny,Evening,14
Tired & Sleepy,Sunny,Night,36
Aggressive,Cloudy,Morning,44
Lazy & Nervous,Rainy,Tea time,15
Normal,Rainy,Travelling time,34
Aggressive,Cloudy,Morning,19
Normal,Rainy,Night,5
Tired & Sleepy,Sunny,Night,8
Normal,Sunny,Evening,4
Tired & Sleepy,Cloudy,Travelling time,6
Normal,Rainy,Tea time,1
Normal,Sunny,Tea time,41
Normal,Rainy,Travelling time,32
Normal,Rainy,Tea time,4
Tired & Sleepy,Cloudy,Evening,9
Tired & Sleepy,Sunny,Evening,8
Tired & Sleepy,Sunny,Tea time,24
Tired & Sleepy,Cloudy,Morning,9
Tired & Sleepy,Sunny,Morning,35
Tired & Sleepy,Rainy,Tea time,10
Tired & Sleepy,Rainy,Night,36
Tired & Sleepy,Sunny,Evening,6
Tired & Sleepy,Sunny,Tea time,42
Tired & Sleepy,Rainy,Morning,27
Normal,Cloudy,Travelling time,1
Normal,Rainy,Night,33
Aggressive,Rainy,Tea time,25
Lazy & Nervous,Sunny,Travelling time,42
Lazy & Nervous,Cloudy,Tea time,38
Aggressive,Sunny,Evening,31
Tired & Sleepy,Cloudy,Morning,6
Lazy & Nervous,Cloudy,Tea time,38
Tired & Sleepy,Rainy,Travelling time,7
Normal,Rainy,Tea time,5
Tired & Sleepy,Rainy,Evening,35
Lazy & Nervous,Rainy,Travelling time,22
Normal,Cloudy,Travelling time,33
Normal,Rainy,Morning,4
Normal,Sunny,Night,5
Lazy & Nervous,Rainy,Morning,22
Aggressive,Rainy,Evening,39
Aggressive,Cloudy,Morning,45
Lazy & Nervous,Cloudy,Tea time,11
Tired & Sleepy,Cloudy,Morning,44
Lazy & Nervous,Cloudy,Night,12
Lazy & Nervous,Cloudy,Night,38
Normal,Rainy,Night,33
Normal,Rainy,Travelling time,23
Tired & Sleepy,Sunny,Morning,36
Normal,Rainy,Evening,3
